target,source,value
ELECTRICITY_EHV,IMP_ELECTRICITY_EHV,33889.0
GASOLINE,IMP_GASOLINE,113.33793189546459
METHANOL,IMP_METHANOL,7799.326253218773
PROPANE,IMP_PROPANE,315.871538221999
HEAT_HIGH_T,IND_BOILER_WASTE,2676.065574391546
HEAT_HIGH_T,IND_BOILER_WOOD,64670.60131671461
HEAT_HIGH_T,IND_DIRECT_ELEC,82131.73110889383
MOBILITY_FREIGHT_SD,LCV_FC_H2_SD,7082.854586323123
SHIP_OIL_TANKER_MEOH_ELD,METHANOL,2526.5067227790005
SHIP_BULK_CARRIER_MEOH_ELD,METHANOL,3356.5613545473925
SHIP_CONTAINER_MEOH_ELD,METHANOL,1916.2581758923798
ELECTRICITY_EHV,NEW_HYDRO_DAM,38018.55780544313
ELECTRICITY_MV,NEW_WIND_ONSHORE,170413.02884207258
MOBILITY_FREIGHT_ELD,PLANE_FREIGHT_BIO_ELD,642.4944248834998
MOBILITY_PASSENGER_LD,PLANE_SH_BIO_LD,17509.46004186762
BUS_PROPANE_SD,PROPANE,315.871538221999
NEW_HYDRO_DAM,RES_HYDRO,38018.55780544313
HYDRO_DAM,RES_HYDRO,127918.533528
HYDRO_RIVER,RES_HYDRO,73573.19568
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,170413.02884207258
MOBILITY_PASSENGER_SD,SCHOOLBUS_BIOETOH_E10_SD,126.87081928596466
MOBILITY_FREIGHT_ELD,SEMI_LH_FC_H2_ELD,676.491503348162
MOBILITY_FREIGHT_LD,SEMI_LH_FC_H2_LD,887.4993154309285
MOBILITY_FREIGHT_LD,SEMI_LH_HY_DIESEL_LD,1862.9336732293323
MOBILITY_FREIGHT_MD,SEMI_SH_HY_DIESEL_MD,11187.40638358659
MOBILITY_FREIGHT_ELD,SHIP_BULK_CARRIER_MEOH_ELD,3356.5613545473925
MOBILITY_FREIGHT_ELD,SHIP_CONTAINER_MEOH_ELD,1916.2581758923798
MOBILITY_FREIGHT_ELD,SHIP_OIL_TANKER_MEOH_ELD,2526.5067227790005
H2_MP,SOEC_ELECTROLYSIS,8646.845405102209
MOBILITY_PASSENGER_LD,SUV_EV_LD,261.2760113569711
MOBILITY_PASSENGER_MD,SUV_EV_MD,2045.9104756583524
MOBILITY_PASSENGER_SD,SUV_EV_SD,104.79541173033044
ELECTRICITY_HV,TRAFO_EH,175029.62571165984
ELECTRICITY_HV,TRAFO_MH,63626.934630103184
ELECTRICITY_LV,TRAFO_ML,71600.09170914009
MOBILITY_PASSENGER_LD,TRAIN_ELEC_LD,3.678070920988394
MOBILITY_FREIGHT_ELD,TRAIN_FREIGHT_ELEC_ELD,3469.765251404865
MOBILITY_FREIGHT_LD,TRAIN_FREIGHT_ELEC_LD,1156.8000107420287
IND_BOILER_WASTE,WASTE,3233.999999999999
CROPS_TO_JETFUELS,WET_BIOMASS,6468.999999999999
IND_BOILER_WOOD,WOOD,74118.0
EUD_ELECTRICITY_EHV,ELECTRICITY_EHV,14179.38
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY_EHV_EXPORT,71112.0
EUD_ELECTRICITY_HV,ELECTRICITY_HV,145992.44
EUD_ELECTRICITY_LV,ELECTRICITY_LV,18917.214
EUD_ELECTRICITY_MV,ELECTRICITY_MV,26508.469500000003
EUD_HEAT_LOW_T_SC,HEAT_LOW_T_SC,5191.4594634233
EUD_LIGHTING,LIGHTING,24868.0812006876
EUD_HEAT_HIGH_T,HEAT_HIGH_T,149478.398
EUD_HEAT_LOW_T_HW,HEAT_LOW_T_HW,9700.8145
EUD_HEAT_LOW_T_SH,HEAT_LOW_T_SH,46769.638999999996
INDUSTRY,EUD_ELECTRICITY_EHV,14179.38
INDUSTRY,EUD_ELECTRICITY_HV,145992.44
HOUSEHOLDS,EUD_ELECTRICITY_LV,12176.94
SERVICES,EUD_ELECTRICITY_LV,6740.274
AGRICULTURE,EUD_ELECTRICITY_MV,1292.3755
INDUSTRY,EUD_ELECTRICITY_MV,23102.06
SERVICES,EUD_ELECTRICITY_MV,2114.0339999999997
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003
SERVICES,EUD_HEAT_LOW_T_SC,1782.516
AGRICULTURE,EUD_LIGHTING,53.846000000000004
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601
INDUSTRY,EUD_LIGHTING,11698.34
SERVICES,EUD_LIGHTING,7221.762
INDUSTRY,EUD_HEAT_HIGH_T,148838.84
SERVICES,EUD_HEAT_HIGH_T,639.558
AGRICULTURE,EUD_HEAT_LOW_T_HW,79.12450000000001
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,6657.96
INDUSTRY,EUD_HEAT_LOW_T_HW,1238.88
SERVICES,EUD_HEAT_LOW_T_HW,1724.85
AGRICULTURE,EUD_HEAT_LOW_T_SH,712.127
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,27126.26
INDUSTRY,EUD_HEAT_LOW_T_SH,6478.24
SERVICES,EUD_HEAT_LOW_T_SH,12453.012
