target,source,value
PLANE_FREIGHT_ELD,JETFUEL,728.1603482013004
MOBILITY_FREIGHT_SD,LCV_FC_H2_SD,8268.097581536365
METHANOL,METHANE_TO_METHANOL,8839.236420314612
SHIP_CONTAINER_MEOH_ELD,METHANOL,2171.7592660113633
SHIP_OIL_TANKER_MEOH_ELD,METHANOL,2863.374285816202
SHIP_BULK_CARRIER_MEOH_ELD,METHANOL,3804.102868487044
ELECTRICITY_EHV,NEW_HYDRO_DAM,41038.54589155678
ELECTRICITY_MV,NEW_WIND_ONSHORE,233085.52824716637
NG_EXP_EH,NG_EHP,23172.94877481042
NG_HP,NG_EXP_EH,23172.94877481042
NG_MP,NG_EXP_HM,16970.781364080907
COACH_CNG_MD,NG_HP,16.193780450139656
BUS_CNG_SD,NG_HP,6156.6373168565715
NG_EXP_HM,NG_HP,16970.781364080907
COACH_CNG_LD,NG_HP,29.336313423419824
METHANE_TO_METHANOL,NG_MP,12374.930891321997
IND_BOILER_GAS,NG_MP,4595.850472758908
MOBILITY_FREIGHT_ELD,PLANE_FREIGHT_ELD,728.1603482013004
MOBILITY_PASSENGER_LD,PLANE_SH_BIO_LD,4164.022443806702
MOBILITY_PASSENGER_LD,PLANE_SH_LD,17236.428718475952
ELECTRICITY_LV,PV_ROOF,14800.0
HYDRO_DAM,RES_HYDRO,127918.533528
NEW_HYDRO_DAM,RES_HYDRO,41038.54589155678
HYDRO_RIVER,RES_HYDRO,73573.19568
PV_ROOF,RES_SOLAR,14800.0
DEC_SOLAR,RES_SOLAR,9.828959975648452
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,233085.52824716637
MOBILITY_PASSENGER_SD,SCHOOLBUS_BIOETOH_E10_SD,2643.1420684575974
MOBILITY_FREIGHT_ELD,SEMI_LH_FC_H2_ELD,6052.367442031279
MOBILITY_FREIGHT_LD,SEMI_LH_FC_H2_LD,4511.2869591688805
MOBILITY_FREIGHT_MD,SEMI_SH_HY_DIESEL_MD,12679.060568064808
MOBILITY_FREIGHT_ELD,SHIP_BULK_CARRIER_MEOH_ELD,3804.102868487044
MOBILITY_FREIGHT_ELD,SHIP_CONTAINER_MEOH_ELD,2171.7592660113633
MOBILITY_FREIGHT_ELD,SHIP_OIL_TANKER_MEOH_ELD,2863.374285816202
MOBILITY_PASSENGER_LD,SUV_EV_LD,798.3433680351907
MOBILITY_PASSENGER_MD,SUV_EV_MD,6251.393120067191
MOBILITY_PASSENGER_LD,SUV_GASOLINE_LD,1786.3010973614046
MOBILITY_PASSENGER_MD,SUV_GASOLINE_MD,13987.55327284356
ELECTRICITY_HV,TRAFO_EH,204734.52352182416
ELECTRICITY_HV,TRAFO_MH,91633.33130305201
ELECTRICITY_LV,TRAFO_ML,84360.70713771177
MOBILITY_PASSENGER_LD,TRAIN_ELEC_LD,4.495420014541679
MOBILITY_FREIGHT_ELD,TRAIN_FREIGHT_ELEC_ELD,2584.1489777129536
MOBILITY_FREIGHT_LD,TRAIN_FREIGHT_ELEC_LD,861.5405794288249
IND_BOILER_WASTE,WASTE,2332.0
CO2_TO_JETFUELS,WET_BIOMASS,6469.000000000003
GASIFICATION_H2,WOOD,66157.90709870006
IND_BOILER_WOOD,WOOD,11010.092901299939
EUD_ELECTRICITY_EHV,ELECTRICITY_EHV,13470.410999999998
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY_EHV_EXPORT,46222.8
EUD_ELECTRICITY_HV,ELECTRICITY_HV,138692.818
EUD_ELECTRICITY_LV,ELECTRICITY_LV,37022.632
EUD_ELECTRICITY_MV,ELECTRICITY_MV,27964.467999999997
EUD_HEAT_LOW_T_SC,HEAT_LOW_T_SC,6973.9754634233
EUD_LIGHTING,LIGHTING,31525.6362006876
EUD_HEAT_HIGH_T,HEAT_HIGH_T,142676.014
EUD_HEAT_LOW_T_HW,HEAT_LOW_T_HW,18052.113
EUD_HEAT_LOW_T_SH,HEAT_LOW_T_SH,99862.02399999999
INDUSTRY,EUD_ELECTRICITY_EHV,13470.410999999998
INDUSTRY,EUD_ELECTRICITY_HV,138692.818
HOUSEHOLDS,EUD_ELECTRICITY_LV,23542.084
SERVICES,EUD_ELECTRICITY_LV,13480.548
AGRICULTURE,EUD_ELECTRICITY_MV,1789.443
INDUSTRY,EUD_ELECTRICITY_MV,21946.957
SERVICES,EUD_ELECTRICITY_MV,4228.067999999999
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003
SERVICES,EUD_HEAT_LOW_T_SC,3565.032
AGRICULTURE,EUD_LIGHTING,74.55600000000001
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601
