target,source,value
CARBON_CAPTURE,HEAT_HIGH_T,2371.9999999999995
SNG_PYROLYSIS_PLASMA,HEAT_HIGH_T,3992.1077169549244
LT_DHN_WH,HEAT_LOW_T,893.1472767997277
ELECTRICITY_EHV,HYDRO_DAM,127918.533528
ELECTRICITY_EHV,HYDRO_RIVER,73573.19568
ELECTRICITY_EHV,IMP_ELECTRICITY_EHV,33889.0
ETHANOL,IMP_ETHANOL,15710.35130596972
JETFUEL,IMP_JETFUEL,1987.9999999999982
PROPANE,IMP_PROPANE,42.29027309532157
HEAT_HIGH_T,IND_BOILER_WASTE,1929.6799379966249
HEAT_HIGH_T,IND_BOILER_WOOD,16167.626621546991
HEAT_HIGH_T,IND_DIRECT_ELEC,33947.366255778616
PLANE_SH_LD,JETFUEL,10944.870755969056
MOBILITY_FREIGHT_SD,LCV_FC_H2_SD,3845.1536457540205
HEAT_WASTE,LT_DHN_WH,893.1472767997277
ELECTRICITY_EHV,NEW_HYDRO_DAM,1632.3484488874726
MOBILITY_PASSENGER_LD,PLANE_SH_BIO_LD,1895.3999414005393
MOBILITY_PASSENGER_LD,PLANE_SH_LD,10944.870755969056
SCHOOLBUS_PROPANE_SD,PROPANE,42.29027309532156
NEW_HYDRO_DAM,RES_HYDRO,1632.3484488874726
HYDRO_DAM,RES_HYDRO,127918.533528
HYDRO_RIVER,RES_HYDRO,73573.19568
MOBILITY_PASSENGER_SD,SCHOOLBUS_PROPANE_SD,42.29027309532156
MOBILITY_FREIGHT_LD,SEMI_LH_FC_H2_LD,128.54209625226665
MOBILITY_FREIGHT_MD,SEMI_SH_BIODIESEL_B100_MD,3249.3358668251503
MOBILITY_FREIGHT_ELD,SHIP_BULK_CARRIER_BIOMEOH_ELD,669.7436860023843
MOBILITY_FREIGHT_ELD,SHIP_CONTAINER_BIOMEOH_ELD,412.07709110472
MOBILITY_FREIGHT_ELD,SHIP_OIL_TANKER_BIOMEOH_ELD,513.1228145940001
SNG_HP,SNG_COMP_MH,132.80192709287763
COACH_CSNG_MD,SNG_HP,9.716268270081327
TRAIN_SNG_LD,SNG_HP,6.977673699037947
COACH_CSNG_LD,SNG_HP,17.60178805405147
BUS_CSNG_SD,SNG_HP,98.50619706970511
SNG_PYROLYSIS_PLASMA,SNG_MP,20936.13794256979
SNG_COMP_MH,SNG_MP,132.80192709287763
DHN_BOILER_BIOGAS,SNG_MP,0.0003783133883614994
H2_MP,SNG_PYROLYSIS_PLASMA,11213.785721783497
HEAT_LOW_T,SNG_PYROLYSIS_PLASMA,2736.163716115173
MOBILITY_PASSENGER_LD,SUV_EV_LD,47.900602082111426
MOBILITY_PASSENGER_MD,SUV_EV_MD,375.08358720403214
MOBILITY_PASSENGER_SD,SUV_EV_SD,52.39770586516526
ELECTRICITY_HV,TRAFO_EH,205186.0895050432
ELECTRICITY_MV,TRAFO_HM,119475.81982198838
ELECTRICITY_LV,TRAFO_ML,101126.53857111344
MOBILITY_FREIGHT_ELD,TRAIN_FREIGHT_ELEC_ELD,1321.8153338685197
MOBILITY_FREIGHT_LD,TRAIN_FREIGHT_ELEC_LD,440.68571837791575
MOBILITY_PASSENGER_LD,TRAIN_SNG_LD,6.977673699037947
IND_BOILER_WASTE,WASTE,2331.999999999999
CO2_TO_JETFUELS,WET_BIOMASS,6469.000000000041
GASIFICATION_H2,WOOD,3693.660714931122
FT,WOOD,6105.5020937644595
GASIFICATION_SNG,WOOD,28464.138275015655
IND_BOILER_WOOD,WOOD,18529.47282904121
DHN_BOILER_WOOD,WOOD,171.1464146215872
WOOD_METHANOL,WOOD,3211.27860922979
ELECTRICITY_MV,WOOD_METHANOL,4204.271307724112
HEAT_LOW_T,WOOD_METHANOL,1594.9435917011049
BIO_METHANOL,WOOD_METHANOL,1594.9435917011049
